               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.043941,             0.05146,            0.033617,             0.73859,             0.71429,             0.83037,             0.48242,            0.039221,            0.043891,            0.031958,            0.002476,            0.002476,            0.002476
                  78,            0.047185,            0.054449,            0.034359,             0.73859,             0.71429,             0.83037,             0.48242,            0.039221,            0.043891,            0.031958,            0.002377,            0.002377,            0.002377
                  79,            0.046458,            0.047081,            0.035783,             0.71419,             0.72838,             0.82351,             0.51302,            0.041312,            0.043675,            0.031392,            0.002278,            0.002278,            0.002278
                  80,            0.043142,            0.048409,            0.031185,             0.71419,             0.72838,             0.82351,             0.51302,            0.041312,            0.043675,            0.031392,            0.002179,            0.002179,            0.002179
                  81,            0.043901,            0.051359,            0.034913,             0.78415,             0.66395,             0.82843,             0.49725,            0.036599,            0.043078,            0.031177,             0.00208,             0.00208,             0.00208
                  82,            0.040809,            0.054374,               0.035,             0.78415,             0.66395,             0.82843,             0.49725,            0.036599,            0.043078,            0.031177,            0.001981,            0.001981,            0.001981
                  83,            0.042478,            0.046763,              0.0369,             0.73824,              0.7381,             0.84618,             0.52672,            0.036354,            0.043181,            0.030709,            0.001882,            0.001882,            0.001882
                  84,            0.039361,            0.051485,            0.031821,             0.73824,              0.7381,             0.84618,             0.52672,            0.036354,            0.043181,            0.030709,            0.001783,            0.001783,            0.001783
                  85,            0.042561,            0.046745,            0.033989,             0.79848,             0.72214,             0.84856,             0.54547,            0.035562,            0.042456,             0.03045,            0.001684,            0.001684,            0.001684
                  86,            0.040004,             0.04306,            0.032343,             0.79848,             0.72214,             0.84856,             0.54547,            0.035562,            0.042456,             0.03045,            0.001585,            0.001585,            0.001585
                  87,            0.037619,            0.039163,            0.030384,             0.78337,             0.72402,             0.85316,             0.54266,            0.035464,             0.04234,            0.030118,            0.001486,            0.001486,            0.001486
                  88,             0.03946,            0.044607,            0.031002,             0.78337,             0.72402,             0.85316,             0.54266,            0.035464,             0.04234,            0.030118,            0.001387,            0.001387,            0.001387
                  89,            0.038894,            0.043053,            0.032896,             0.77954,             0.70968,              0.8532,             0.53773,            0.034883,            0.042339,            0.029915,            0.001288,            0.001288,            0.001288
                  90,            0.039862,            0.046364,            0.031816,             0.77954,             0.70968,              0.8532,             0.53773,            0.034883,            0.042339,            0.029915,            0.001189,            0.001189,            0.001189
                  91,            0.039255,            0.044604,            0.032324,             0.77659,             0.71074,             0.85319,             0.53355,            0.035086,            0.042176,            0.029704,             0.00109,             0.00109,             0.00109
                  92,            0.039187,            0.044032,             0.03264,             0.77659,             0.71074,             0.85319,             0.53355,            0.035086,            0.042176,            0.029704,            0.000991,            0.000991,            0.000991
                  93,            0.036598,            0.050651,              0.0298,             0.77796,             0.70971,             0.85042,             0.55149,            0.036352,            0.042177,            0.029516,            0.000892,            0.000892,            0.000892
                  94,            0.040142,            0.045127,            0.031521,             0.77796,             0.70971,             0.85042,             0.55149,            0.036352,            0.042177,            0.029516,            0.000793,            0.000793,            0.000793
                  95,            0.037036,            0.050953,            0.032861,              0.7759,             0.71857,             0.85046,              0.5598,            0.034477,            0.042033,            0.029412,            0.000694,            0.000694,            0.000694
                  96,            0.037231,            0.048603,            0.032682,              0.7759,             0.71857,             0.85046,              0.5598,            0.034477,            0.042033,            0.029412,            0.000595,            0.000595,            0.000595
                  97,            0.038386,            0.052225,            0.033074,              0.7754,             0.72682,             0.85053,             0.56457,            0.034365,            0.041985,            0.029321,            0.000496,            0.000496,            0.000496
                  98,            0.037018,            0.049208,            0.031329,              0.7754,             0.72682,             0.85053,             0.56457,            0.034365,            0.041985,            0.029321,            0.000397,            0.000397,            0.000397
                  99,            0.039436,            0.050872,            0.031143,             0.77241,             0.73452,             0.85062,             0.56094,            0.034565,            0.042015,            0.029275,            0.000298,            0.000298,            0.000298
